report_date,client_id,target,col2059,col2060,col2061,col2062,col2063,col2064,col2068,col2069,col2070,col2080,col2081,col2082,col2087,col2088,col2093,col2094,col2108,col2109,col2110,col2111,col2112,col2116,col2117,col2118,col2132,col2133,col2134,col2135,col2136,col2140,col2141,col2142,col2155,col2156,col2157,col2158,col2159,col2160,col2164,col2165,col2166,col2298,col2299,col2300,col2301,col2302,col2303,col2304,col2305,col2306,col2307,col2346,col2347,col2348,col2349,col2350,col2351,col2352,col2353,col2354,col2355,col2356,col2357,col2358,col2359,col2360,col2364,col2365,col2366,col2373,col2374,col2375,col2376,col2377,col2378,col2379,col2380,col2381,col2382,col2383,col2384,col2388,col2390,col2397,col2398,col2399,col2400,col2401,col2402,col2403,col2404,col2405,col2406,col2407,col2408,col2412,col2413,col2414,col2421,col2422,col2423,col2424,col2425,col2426,col2427,col2428,col2429,col2430,col2431,col2432,col2436,col2437,col2438,col2442,col2443,col2444,col2445,col2446,col2447,col2448,col2450,col2552,col2554,col2558,col2606,col2607,col2608,col2612,col2613,col2614
2022-09-01,354,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.67,52.67,52.67,52.67,52.67,52.67,52.67,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,9598200.0,9598200.0,9598200.0,9501000.0,9501000.0,9501000.0,9501000.0,9501000.0,9501000.0
2022-04-01,373,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.63,21.63,21.63,21.63,21.63,21.63,21.63,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,2591820.0,2591820.0,2591820.0,2360000.0,2360000.0,2360000.0,2360000.0,2360000.0,2360000.0
2022-10-01,471,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.04,22.04,22.04,22.04,22.04,22.04,22.04,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,6035000.0,6035000.0,6035000.0,6152000.0,6152000.0,6152000.0,6152000.0,6152000.0,6152000.0
2022-04-01,474,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,62.3,62.3,62.3,62.3,62.3,62.3,62.3,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,8000000.0,7700000.0,8000000.0,7367491.0,7367491.0,7367491.0,7367491.0,7367491.0,7367491.0
2022-08-01,646,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.01,40.01,40.01,40.01,40.01,40.01,40.01,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,8495750.0,8495750.0,8495750.0,8214688.55,8214688.55,8214688.55,8214688.55,8214688.55,8214688.55
2022-07-01,718,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,59.28,59.28,59.28,59.28,59.28,59.28,59.28,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,9712374.0,9712374.0,9712374.0,9269000.0,9269000.0,9269000.0,9269000.0,9269000.0,9269000.0
2022-05-01,774,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.29,35.14,35.215,35.14,35.215,35.14,35.215,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,10.12,10.125,10.13,10.12,10.125,10.13,10.12,10.125,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,162569.0,162569.0,162569.0,163464.0,162569.0,163106.0,163464.0,162569.0,163106.0,163464.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.23,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,4547500.0,4547500.0,4547500.0,4825000.0,4825000.0,4825000.0,4825000.0,4825000.0,4825000.0
2022-07-01,821,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.61,24.69,25.15,24.69,25.15,24.69,25.15,12.37,12.435,12.5,12.37,12.435,12.5,12.37,12.435,5.24,5.67,6.1,5.24,5.67,6.1,5.24,5.67,1.54,1.29,1.415,1.54,1.29,1.415,1.54,1.29,1.415,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,4355789.0,4355789.0,4355789.0,4023736.0,4023736.0,4023736.0,4023736.0,4023736.0,4023736.0
2022-08-01,982,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.93,40.93,40.93,40.93,40.93,40.93,40.93,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,7275150.0,7275150.0,7275150.0,7079609.0,7079609.0,7079609.0,7079609.0,7079609.0,7079609.0
2022-07-01,1056,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.9,36.9,36.9,36.9,36.9,36.9,36.9,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,7859241.1,7859241.1,7859241.1,8665000.0,8665000.0,8665000.0,8665000.0,8665000.0,8665000.0
2022-07-01,1322,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.27,35.02,35.145,35.02,35.145,35.02,35.145,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,9.98,10.05,10.12,9.98,10.05,10.12,9.98,10.05,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,167677.0,167047.0,167299.0,167677.0,167047.0,167299.0,167677.0,167047.0,167299.0,167677.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.27,35.02,35.17,35.27,35.02,35.17,35.27,35.02,35.17,35.27,35.02,35.17,35.27,35.17,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,10.12,9.98,10.064,10.12,9.98,10.064,10.12,9.98,10.064,10.12,9.98,10.064,10.12,9.98,10.064,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,5950000.0,5950000.0,5950000.0,5555000.0,5555000.0,5555000.0,5555000.0,5555000.0,5555000.0
2022-11-01,1391,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.03,35.03,35.03,35.03,35.03,35.03,35.03,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,257374.0,257374.0,257374.0,257374.0,257374.0,257374.0,257374.0,257374.0,257374.0,257374.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,7728000.0,7728000.0,7728000.0,7726276.0,7726276.0,7726276.0,7726276.0,7726276.0,7726276.0
2022-07-01,1430,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.52,24.52,24.52,24.52,24.52,24.52,24.52,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,194854.0,194854.0,194854.0,194854.0,194854.0,194854.0,194854.0,194854.0,194854.0,194854.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,24.52,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,5.22,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0
2022-05-01,1670,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.03,26.03,26.03,26.03,26.03,26.03,26.03,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,191258.0,191258.0,191258.0,191258.0,191258.0,191258.0,191258.0,191258.0,191258.0,191258.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,5000000.0,5000000.0,5000000.0,4138000.0,4138000.0,4138000.0,4138000.0,4138000.0,4138000.0
2022-07-01,1688,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.33,39.33,39.33,39.33,39.33,39.33,39.33,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,161221.0,161221.0,161221.0,161221.0,161221.0,161221.0,161221.0,161221.0,161221.0,161221.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,39.33,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,11.93,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,6156000.0,6156000.0,6156000.0,6085000.0,6085000.0,6085000.0,6085000.0,6085000.0,6085000.0
2022-07-01,1692,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,56.11,56.11,56.11,56.11,56.11,56.11,56.11,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,169441.0,169441.0,169441.0,169441.0,169441.0,169441.0,169441.0,169441.0,169441.0,169441.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,56.11,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,14.01,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,8062220.0,8062220.0,8062220.0,8885144.0,8885144.0,8885144.0,8885144.0,8885144.0,8885144.0
2022-04-01,1911,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.01,26.01,26.01,26.01,26.01,26.01,26.01,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,177532.0,177532.0,177532.0,177532.0,177532.0,177532.0,177532.0,177532.0,177532.0,177532.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2500000.0,2500000.0,2500000.0,2107600.0,2107600.0,2107600.0,2107600.0,2107600.0,2107600.0
2022-09-01,1961,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.03,35.03,35.03,35.03,35.03,35.03,35.03,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,229278.0,229278.0,229278.0,229278.0,229278.0,229278.0,229278.0,229278.0,229278.0,229278.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,35.03,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,8.74,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,8569700.0,8569700.0,8569700.0,8716870.0,8716870.0,8716870.0,8716870.0,8716870.0,8716870.0
2022-04-01,2001,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.18,22.01,22.595,22.01,22.595,22.01,22.595,8.88,9.345,9.81,8.88,9.345,9.81,8.88,9.345,4.94,4.945,4.95,4.94,4.945,4.95,4.94,4.945,1.95,1.83,1.89,1.95,1.83,1.89,1.95,1.83,1.89,223209.0,202832.0,207926.25,223209.0,202832.0,207926.25,223209.0,202832.0,207926.25,223209.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.18,22.01,22.3025,23.18,22.01,22.3025,23.18,22.01,22.3025,23.18,22.01,22.3025,23.18,22.3025,9.81,8.88,9.1125,9.81,8.88,9.1125,9.81,8.88,9.1125,9.81,8.88,9.1125,9.81,8.88,9.1125,4.95,4.94,4.9475,4.95,4.94,4.9475,4.95,4.94,4.9475,4.95,4.94,4.9475,4.95,4.94,4.9475,1.95,1.83,1.86,1.95,1.83,1.86,1.95,1.86,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2022-08-01,2015,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,49.07,49.07,49.07,49.07,49.07,49.07,49.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,169024.0,169024.0,169024.0,169024.0,169024.0,169024.0,169024.0,169024.0,169024.0,169024.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.6,2.0,1.0,1.6,49.07,49.07,49.07,49.07,49.07,49.07,49.07,49.07,49.07,49.07,24.63,39.294,49.07,39.294,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,12.58,20.074,25.07,12.58,20.074,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,5.03,8.186,10.29,5.03,8.186,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,8012062.0,8012062.0,8012062.0,8037000.0,8037000.0,8037000.0,8037000.0,8037000.0,8037000.0
2022-07-01,2093,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.78,20.78,20.78,20.78,20.78,20.78,20.78,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,208281.0,208281.0,208281.0,208281.0,208281.0,208281.0,208281.0,208281.0,208281.0,208281.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,20.78,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,9.13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,4335000.0,4335000.0,4335000.0,3995000.0,3995000.0,3995000.0,3995000.0,3995000.0,3995000.0
2022-10-01,2113,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.68,34.68,34.68,34.68,34.68,34.68,34.68,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,176337.0,176337.0,176337.0,176337.0,176337.0,176337.0,176337.0,176337.0,176337.0,176337.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,34.68,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,14.57,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,6851000.0,6851000.0,6851000.0,6848314.0,6848314.0,6848314.0,6848314.0,6848314.0,6848314.0
